PREFIXO: ;D4-104
NOME DO POSTO: ;PIRACICABA
MUNICÍPIO: ;PIRACICABA
CURSO D'ÁGUA: ;PIRACICABA,R
LATITUDE: ;22°43'03"
LONGITUDE: ;47°39'07"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/1975;  9,3;  9,4;  0,0;  0,0;  0,0;  0,0;  1,6;  0,0;  0,0;  6,3; 51,0;  0,2;  2,0;  8,4;  1,8; 16,7; 26,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;0,0;2,4;0,0;51,0;136,2
  02/1975; 14,1;  2,6;  1,3;  0,0; 35,7; 36,0;  3,1; 13,1; 22,2; 54,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 29,0;  4,2;  0,0; 28,0; 54,5;  3,7;  0,0;  4,6;  0,3;  7,7;---;---;---;54,5;314,3
  03/1975;  0,0;  0,0;  0,0;  8,8;  0,0;  0,0;  0,0;  5,8;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,6;0,4;8,8;15,8
  04/1975;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,3; 20,5;  5,6;  0,0;  0,0;  6,2; 12,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;20,5;63,4
  05/1975;  0,6;  0,0;  0,0;  0,0;  0,0;  6,2;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;6,2;7,8
  06/1975;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;0,1;0,1
  07/1975;  0,0;  0,0; 13,3;  0,1;  2,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0; 13,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;13,3;34,1
  08/1975;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  09/1975;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,8;  3,1;0,0;25,3;---;25,3;29,6
  10/1975; 16,3;  0,0;  0,3;  5,9;  4,9; 10,3;  0,0; 10,2;  0,0;  0,0;  1,2; 20,0;  0,0;  0,1;  6,2;  0,0;  0,2;  3,2; 15,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;0,0;3,3;0,0;20,0;98,3
  11/1975;  4,7;  6,0;  0,1;  0,0;  0,0;  0,0; 17,4;  0,0;  0,0; 14,4;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  1,8; 10,7;  0,0;  1,0; 17,6;  0,0;  0,6; 32,0; 33,3; 29,2;  0,0;  0,0;0,5;45,2;---;45,2;215,1
  12/1975;  9,6;  0,0;  0,0;  2,0;  0,0;  0,0;  0,3;  4,2;  0,0;  5,0;  0,0;  0,0; 18,0; 76,9;  0,0;  0,0;  0,0;  0,6;  5,2;  0,0;  0,0;  0,0; 16,7;  0,0;  9,4; 17,8;  2,6;  0,9;30,6;20,9;0,0;76,9;220,7
  01/1976;  1,6;  7,5; 13,0; 34,8; 23,7;  6,7;  5,1;  4,3;  5,3;  0,0;  7,9; 16,2;  9,7;  0,0;  0,0; 18,4;  0,0;  0,0;  0,0;  5,3;  4,0;  3,8;  0,0;  0,0;  0,5;  6,5;  0,0;  0,2;12,0;0,0;23,0;34,8;209,5
  02/1976;  0,0; 11,0; 16,0; 10,0;  6,6;  6,4; 41,3; 18,2; 25,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,2;  8,4;  0,0;  9,3;  3,8;  5,8; 26,5;  0,0;  0,0; 14,3;  0,0;0,0;---;---;41,3;212,3
  03/1976;  0,0; 16,1;  0,0; 28,9;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  1,2;  9,1;  0,0;  0,0;  0,0;  0,0; 26,0;  0,1; 21,8; 43,3;  0,0;  0,0;  7,9;  0,0;  0,4;  0,0;  0,0;0,0;0,0;0,0;43,3;155,1
  04/1976;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,3; 11,7;  7,0; 12,5; 32,3; 32,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,3;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;32,5;127,6
  05/1976;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,5;  0,0;  1,8;  0,4;  0,0;  0,0;  0,0;  6,5;  5,4;  9,0;  2,5;  0,0;  8,7;  0,1;  0,0;  0,0;  0,0;  0,0; 14,5;53,4;0,0;0,0;53,4;114,8
